ulasan,label
saya sangat puas dengan aplikasi gojek sangat membantu saya pas lagi membutuhkan trimakasih gojek,positif
update kok terusan,netral
kemurahan jadi kalau jauh dikit not_ada yang mo ambil,negatif
seneng pakai produk sendiri,positif
tdk bs diupdte stuck 97persen,netral
tarifnya skrg mahal not_pas dikantong pelajar,netral
terima kasih sekali dengan adanya aplikasi ini mau beli makanan jadi gampang,positif
masa harus menunggu 1 jam dulu baru bisa dibatalin aplikasi apa ini drivernya susah,negatif
saya mau update tapi kok lama sekali ya,netral
sayang sekali penjemputan pasti jauh,netral
aplikasinya kok responnya lama ya,netral
terima kasih team gojek terus tingkatkan pelayanan terbaik untuk semua pelanggan,positif
mantaplaj dan membantu sangt love bjgt sama gopay,positif
gojek sekarang susah sekali dapat driver padahal not_hujan sekalinya dapat driver malah yang posisinya jauh aplikasi nya not_jelas aneh,negatif
terima kasih gojek selalu membantu saya dalam melengkapi kebutuhan hidup jaya terus,positif
saya sudah mendownload dan menggunakan ojek daring ini tapi aplikasinya harus dipebaharui malah not_bisa bisa ahirnya saya uninstal saja aplikasinya saya pusing,negatif
tolong perbaiki sinyal gps lokasi user dengan driver yang kadang not_pas pada posisinya tq,netral
lambat sekali macam overload servernya mana sudah laper sekali,netral
tolong mapsnya kurang akurat,netral
mantap drivernya baik,positif
aplikasi penghisap darah masyarakat indonesia gara2 skema not_ada membuat driver pada menjerit saya sangat sedih melihat nasib para driver skrang,negatif
mantaf buat serba mudah,positif
ini bagaimana sih saya beli kuota xl 90 0 tapi not_masuk sedangkan saldonya berkurang yang benar dong untuk sistemnya not_maen kurangin saldo terus sama sistem not_di top up in kan rugi pihak customer kalau gini jadinya,negatif
sangat buruk aplikasi go jek saya di bobol dan saldo go pay saya senilai 430 0 hilang,negatif
sangat senang dengan gojeg,positif
sangat bermanfaat untuk keluarga,positif
beli go pulsa not_masuk kepending dan menunggu 24 jam pulsa habis woy buru2 perlu menunggu 24 jam percuma saya butuh skrg,negatif
alhamdulillah aplikasi gojek bisa membantu saya dalam segala hal semoga sukses selalu gojek,positif
kenapa yach aplikasi gojek saya sering not_bisa di buka,netral
semoga ada rezekinya allah maha tau,positif
jelek sekali susah skraang dapetin driver di aplikasi ini payahh gojek aplikasi anjing,negatif
susah didownload update padahal untuk internet yang lain lancar2 saja,negatif
saya kesal karena lamanya saya pesan not_ada yang terima terima kesal saya,netral
masa not_ada yang pakai kartu bri,negatif
lumayan cepat dan memuaskan,positif
makin kesini makin busuk goride gocar dapat driver nya lama meskipun sudah prioritas sama gofood pun juga lama,negatif
kalau pesan saat hujan susah sekali dapat drivernya,netral
terima kasih layanannya cepat n nyaman,positif
di kasih voucer potongan tapi asal di pesan pakai voucer nya driver selalu kosong pas pesan not_mengunakan voucer langsung saja masuk apa nih gojek not_jelas,netral
sudah lama pakai tapi belum dapat ditus gopaylaternya,netral
tepat wkt dan murah,positif
kurang efektif menurut saya karena bila memesan terkadang suka kayak maaf resto sepi gojek dan ketika ganti yang lain sama terus jawabanya,netral
bagus tapi kadang kalau lg pulang kampung banyak lok yang belum ke baca sama mepnya,positif
go jek sangat membantu disuasana apapun tapi tolong lebih hati2 lagi dan taati peraturan lalu lintas,positif
ngisi paket data 50gb tapi not_kunjung masuk masuk sudah lah malas juga sama aplikasi ini,negatif
tadi saya pesenin go car untuk temen saya terus drivernya nlp saya marah2 karena temen saya kelamaan padahal dia baru menunggu 1 2 menit ya saya not_tau apa2 saya cuma mesenin tapi saya yang dimarah2in jadi saya telepon pihak gojek untuk laporin karena menurut saya driver ini not_sopan marah marah not_jelas sedangkan saya not_tau apa2 tapi dari pihak gojek malah dapat respon kalau ngrasa nyaman not_usah telepon pihak gojek walaupun teman saya ngrasa nyaman karena driver marah2nya ke saya saja not_ke teman saya tapi saya sebagai pengguna gojek merasa not_nyaman dan kecewa sekali sama gojek,negatif
enak simple mau kemana,positif
tolong di tindak lanjuti driver yang meminta bayaran lebih,netral
sangat mudah dan cepat menggunakan,positif
fitur promonya not_ada padahal sudah berkali nyoba instal terus tetep saja gaada,netral
lumayan membantu dalam segala hal,positif
tolong not_asal pm sama driver qt custamer susah order karena minimnya driver,netral
cukup bagus tapi sayang blum bsa memberi pinjaman,positif
not_usah terus2 update lah untuk pening saja aplikasi nya sudah oke tapi trus2 di update,netral
kenapa kalau gofood delay pesanannya mending langsung dbikinin sama restonya kebanyakan restonya malah menunggu driver dulu baru dibuat makanannya 2 kali kerjaan tolong dong di sosialisasi pihak restonya,positif
ongkirnya mahal banget lebih mahal dari makanan yang dipesen padahal dekat ongkirnya tetep mahal sekali,netral
senang bisa dapat banyak kemudahan,positif
gopay later not_bisa digunakan padahal limit nya masih utuh,netral
banyak diskon nya mantap sekali,positif
banyak harga yang not_update,netral
aman untuk kirim dokumen sekalipun,positif
semoga dapat terus mengembangkan layanan dengan baik,positif
